X_scan,Y_scan,X_acc,Y_acc,Radius,Mean,StdDev,Prominence_min,Prominence_pseudo
3,1,289.5000,330.1200,3,80.7778,2.3469,3,53
3,1,209.0419,322.0369,3,69.3333,2.3469,3,48
3,1,334.3495,234.5239,3,135.0000,2.3469,3,99
3,1,224.2109,181.2802,3,9.7778,2.3469,3,6
3,1,199.2435,198.3394,3,11.2222,2.3469,3,9
3,1,236.3020,335.0062,3,56.0000,2.3469,3,39
3,1,174.3441,216.2251,3,12.7778,2.3469,3,9
3,1,181.3289,308.1240,3,84.5556,2.3469,3,61
3,1,339.3650,295.4737,3,100.4444,2.3469,3,84
3,1,331.4665,204.4829,3,126.6667,2.3469,3,108
3,1,249.2200,164.1504,3,9.4444,2.3469,3,6
3,1,264.4343,348.0446,3,118.3333,2.3469,3,83
3,1,152.1865,263.4729,3,66.6667,2.3469,3,48
3,1,361.0653,248.2789,3,103.4444,2.3469,3,73
3,1,302.0344,161.1247,3,17.4444,2.3469,3,11
3,1,211.1992,352.3938,3,108.3333,2.3469,3,80
3,1,317.1547,343.1968,3,71.5556,2.3469,3,51
3,1,154.0928,294.2398,3,92.0000,2.3469,3,61
3,1,183.4354,338.1863,3,39.1111,2.3469,3,30
3,1,329.2722,174.0645,3,13.6667,2.3469,3,8
3,1,359.1283,217.5597,3,63.1111,2.3469,3,44
3,1,341.4749,325.4376,3,44.7778,2.3469,3,37
3,1,239.1525,365.2506,3,43.0000,2.3469,3,33
3,1,363.5089,279.0425,3,31.4444,2.3469,3,22
3,1,292.1099,360.3761,3,38.2222,2.3469,3,28
3,1,356.1959,188.0811,3,37.8889,2.3469,3,25
3,1,156.2858,325.1815,3,71.4444,2.3469,3,53
3,1,366.4382,309.0855,3,49.0000,2.3469,3,37
3,1,267.0519,378.2216,3,46.1111,2.3469,3,33
3,1,386.3411,230.4680,3,38.5556,2.3469,3,32
3,1,186.3771,369.2060,3,26.1111,2.3469,3,20
3,1,214.2838,382.1246,3,31.0000,2.3469,3,23
3,1,389.1699,261.2288,3,39.4444,2.3469,3,26
3,1,319.1279,374.1566,3,37.6667,2.3469,3,26
3,1,344.1902,357.1564,3,26.7778,2.3469,3,17
3,1,130.1773,311.2959,3,78.8889,2.3469,3,54
3,1,383.3272,201.0259,3,42.5556,2.3469,3,32
3,1,159.2709,355.3541,3,37.0000,2.3469,3,28
3,1,241.4886,395.2247,3,29.0000,2.3469,3,20
3,1,294.3005,391.0118,3,45.0000,2.3469,3,32
3,1,391.4229,291.2576,3,28.4444,2.3469,3,22
3,1,369.3048,339.3713,3,28.8889,2.3469,3,20
3,1,131.3743,342.2628,3,77.4444,2.3469,3,54
3,1,394.1659,322.0476,3,33.7778,2.3469,3,24
